Role Name, Title, Description
roles/lifesciences.viewer,  Cloud Life Sciences Viewer,  Access to read Cloud Life Sciences resources.
roles/lifesciences.workflowsRunner,  Cloud Life Sciences Workflows Runner,  Full access to operate on Cloud Life Sciences workflows.
roles/livestream.editor,  Live Stream Editor,  Full access to Live Stream resources.
roles/livestream.viewer,  Live Stream Viewer,  Read access to Live Stream resources.
roles/logging.admin,  Logging Admin,  Access to all logging permissions, and dependent permissions.
roles/logging.bucketWriter,  Logs Bucket Writer,  Ability to write logs to a log bucket.
roles/logging.configWriter,  Logs Configuration Writer,  Access to configure log exporting and metrics.
roles/logging.fieldAccessor,  Log Field Accessor,  Ability to read restricted fields in a log bucket.
roles/logging.logWriter,  Logs Writer,  Access to write logs.
roles/logging.privateLogViewer,  Private Logs Viewer,  Access to view all logs, including logs with private contents.
roles/logging.serviceAgent,  Cloud Logging Service Agent,  Grants a Cloud Logging Service Account the ability to create Datasets and manage BigQuery Authorized Views inside those Datasets.
roles/logging.viewAccessor,  Logs View Accessor,  Ability to read logs in a view.
roles/logging.viewer,  Logs Viewer,  Access to view logs, except for logs with private contents.
roles/managedidentities.admin,  Google Cloud Managed Identities Admin,  Full access to Google Cloud Managed Identities Domains and related resources. Intended to be granted on a project-level.
roles/managedidentities.domainAdmin,  Google Cloud Managed Identities Domain Admin,  Read-Update-Delete to Google Cloud Managed Identities Domains and related resources. Intended to be granted on a resource (domain) level.
roles/managedidentities.peeringAdmin,  Google Cloud Managed Identities Peering Admin,  Full access to Google Cloud Managed Identities Domains and related resources. Intended to be granted on a project-level
roles/managedidentities.peeringViewer,  Google Cloud Managed Identities Peering Viewer,  Read-only access to Google Cloud Managed Identities Peering and related resources.
roles/managedidentities.serviceAgent,  Cloud Managed Identities Service Agent,  Gives Managed Identities service account access to managed resources.
roles/managedidentities.viewer,  Google Cloud Managed Identities Viewer,  Read-only access to Google Cloud Managed Identities Domains and related resources.
roles/mediaasset.serviceAgent,  Media Asset Service Agent,  Downloads and uploads media files from and to customer GCS buckets.
roles/memcache.admin,  Cloud Memorystore Memcached Admin,  Full access to Memcached instances and related resources.
roles/memcache.editor,  Cloud Memorystore Memcached Editor,  Read-Write access to Memcached instances and related resources.
roles/memcache.serviceAgent,  Cloud Memorystore Memcached Service Agent,  Gives Cloud Memorystore Memcached service account access to managed resource
roles/memcache.viewer,  Cloud Memorystore Memcached Viewer,  Read-only access to Memcached instances and related resources.
roles/meshconfig.serviceAgent,  Mesh Config Service Agent,  Apply mesh configuration
roles/meshdataplane.serviceAgent,  Mesh Data Plane Service Agent,  Run user-space Istio components
roles/metastore.admin,  Dataproc Metastore Admin,  Full access to all Dataproc Metastore resources.
roles/metastore.editor,  Dataproc Metastore Editor,  Read and write access to all Dataproc Metastore resources.
roles/metastore.metadataOperator,  Dataproc Metastore Metadata Operator,  Read-only access to Dataproc Metastore resources with additional metadata operations permission.
roles/metastore.serviceAgent,  Dataproc Metastore Service Agent,  Gives the Dataproc Metastore service account access to managed resources.
roles/metastore.user,  Dataproc Metastore Viewer,  Read-only access to all Dataproc Metastore resources.
roles/ml.admin,  AI Platform Admin,  Full access to AI Platform.
roles/ml.developer,  AI Platform Developer,  Access to create training and prediction jobs, models and versions, send online prediction requests.
roles/ml.jobOwner,  AI Platform Job Owner,  Full access to the job.
roles/ml.modelOwner,  AI Platform Model Owner,  Full access to the model and its versions.
roles/ml.modelUser,  AI Platform Model User,  Permissions to read the model and its versions, and use them for prediction.
roles/ml.operationOwner,  AI Platform Operation Owner,  Full access to the operation.
roles/ml.serviceAgent,  AI Platform Service Agent,  AI Platform service agent can act as log writer, Cloud Storage admin, Artifact Registry Reader, BigQuery writer, and service account access token creator.
roles/ml.viewer,  AI Platform Viewer,  Read-only access to AI Platform resources.
roles/monitoring.admin,  Monitoring Admin,  All current and future monitoring permissions.
roles/monitoring.alertPolicyEditor,  Monitoring AlertPolicy Editor,  Read/write access to alerting policies.
roles/monitoring.alertPolicyViewer,  Monitoring AlertPolicy Viewer,  Read-only access to alerting policies.
roles/monitoring.dashboardEditor,  Monitoring Dashboard Configuration Editor,  Read/write access to dashboard configurations.
roles/monitoring.dashboardViewer,  Monitoring Dashboard Configuration Viewer,  Read-only access to dashboard configurations.
roles/monitoring.editor,  Monitoring Editor,  Read/write access to all monitoring data and configuration.
roles/monitoring.metricWriter,  Monitoring Metric Writer,  Write-only access to metrics.  This provides exactly the permissions needed by the Stackdriver agent and other systems that send metrics.
roles/monitoring.metricsScopesAdmin,  Monitoring Metrics Scopes Admin,  Access to add and remove monitored projects from metrics scopes.
roles/monitoring.metricsScopesViewer,  Monitoring Metrics Scopes Viewer,  Read-only access to metrics scopes and their monitored projects.
roles/monitoring.notificationChannelEditor,  Monitoring NotificationChannel Editor,  Read/write access to notification channels.
roles/monitoring.notificationChannelViewer,  Monitoring NotificationChannel Viewer,  Read-only access to notification channels.
roles/monitoring.notificationServiceAgent,  Monitoring Notification Service Agent,  Grants permissions to deliver notifications directly to resources within the target project, such as delivering to Cloud PubSub topics within the project.
roles/monitoring.servicesEditor,  Monitoring Services Editor,  Read/write access to services.
roles/monitoring.servicesViewer,  Monitoring Services Viewer,  Read-only access to services.
roles/monitoring.uptimeCheckConfigEditor,  Monitoring Uptime Check Configuration Editor,  Read/write access to uptime check configurations.
roles/monitoring.uptimeCheckConfigViewer,  Monitoring Uptime Check Configuration Viewer,  Read-only access to uptime check configurations.
roles/monitoring.viewer,  Monitoring Viewer,  Read-only access to get and list information about all monitoring data and configuration.
roles/multiclusteringress.serviceAgent,  Multi Cluster Ingress Service Agent,  Gives the Multi Cluster Ingress service agent access to CloudPlatform resources.
roles/multiclustermetering.serviceAgent,  Multi-cluster metering Service Agent,  Gives the Multi-cluster metering service agent access to CloudPlatform resources.
roles/netappcloudvolumes.admin,  NetApp Cloud Volumes Admin,  This role is managed by NetApp, not Google.
roles/netappcloudvolumes.viewer,  NetApp Cloud Volumes Viewer,  This role is managed by NetApp, not Google.
roles/networkconnectivity.hubAdmin,  Hub & Spoke Admin,  Full access to Hub and Spoke resources.
roles/networkconnectivity.hubViewer,  Hub & Spoke Viewer,  Read-only access to Hub and Spoke resources.
roles/networkconnectivity.spokeAdmin,  Spoke Admin,  Create Spokes and attach them to an existing Hub.
roles/networkmanagement.admin,  Network Management Admin,  Full access to Network Management resources.
roles/networkmanagement.serviceAgent,  GCP Network Management Service Agent,  Grants the GCP Network Management API the authority to complete analysis based on network configurations from Compute Engine and Container Engine.
roles/networkmanagement.viewer,  Network Management Viewer,  Read-only access to Network Management resources.
roles/notebooks.admin,  Notebooks Admin,  Full access to Notebooks all resources.
roles/notebooks.legacyAdmin,  Notebooks Legacy Admin,  Full access to Notebooks all resources through compute API.
roles/notebooks.legacyViewer,  Notebooks Legacy Viewer,  Read-only access to Notebooks all resources through compute API.
roles/notebooks.runner,  Notebooks Runner,  Restricted access for running scheduled Notebooks.
roles/notebooks.serviceAgent,  AI Platform Notebooks Service Agent,  Provide access for notebooks service agent to manage notebook instances in user projects
roles/notebooks.viewer,  Notebooks Viewer,  Read-only access to Notebooks all resources.
roles/oauthconfig.editor,  OAuth Config Editor,  Read/write access to OAuth config resources
roles/oauthconfig.viewer,  OAuth Config Viewer,  Read-only access to OAuth config resources
roles/ondemandscanning.admin,  On-Demand Scanning Admin,  All permissions for On-Demand Scanning
roles/opsconfigmonitoring.resourceMetadata.viewer,  Ops Config Monitoring Resource Metadata Viewer,  Read-only access to resource metadata.
roles/opsconfigmonitoring.resourceMetadata.writer,  Ops Config Monitoring Resource Metadata Writer,  Write-only access to resource metadata. This provides exactly the permissions needed by the Ops Config Monitoring metadata agent and other systems that send metadata.
roles/orgpolicy.policyAdmin,  Organization Policy Administrator,  The permission to set Organization Policies on resources.
roles/orgpolicy.policyViewer,  Organization Policy Viewer,  Access to view Organization Policies on resources.
roles/osconfig.guestPolicyAdmin,  GuestPolicy Admin,  Full admin access to GuestPolicies
roles/osconfig.guestPolicyEditor,  GuestPolicy Editor,  Editor of GuestPolicy resources
roles/osconfig.guestPolicyViewer,  GuestPolicy Viewer,  Viewer of GuestPolicy resources
roles/osconfig.instanceOSPoliciesComplianceViewer,  InstanceOSPoliciesCompliance Viewer,  Viewer of OS Policies Compliance of VM instances
roles/osconfig.inventoryViewer,  OS Inventory Viewer,  Viewer of OS Inventories
roles/osconfig.osPolicyAssignmentAdmin,  OSPolicyAssignment Admin,  Full admin access to OS Policy Assignments
roles/osconfig.osPolicyAssignmentEditor,  OSPolicyAssignment Editor,  Editor of OS Policy Assignments
roles/osconfig.osPolicyAssignmentViewer,  OSPolicyAssignment Viewer,  Viewer of OS Policy Assignments
roles/osconfig.patchDeploymentAdmin,  PatchDeployment Admin,  Full admin access to PatchDeployments
roles/osconfig.patchDeploymentViewer,  PatchDeployment Viewer,  Viewer of PatchDeployment resources
roles/osconfig.patchJobExecutor,  Patch Job Executor,  Access to execute Patch Jobs.
roles/osconfig.patchJobViewer,  Patch Job Viewer,  Get and list Patch Jobs.
roles/osconfig.serviceAgent,  Cloud OS Config Service Agent,  Grants OS Config Service Account access to Google Compute Engine instances.
roles/osconfig.vulnerabilityReportViewer,  OS VulnerabilityReport Viewer,  Viewer of OS VulnerabilityReports
roles/owner,  Owner,  Full access to all resources.
roles/paymentsresellersubscription.partnerAdmin,  Payments Reseller Admin,  Full access to all Payments Reseller resources, including subscriptions, products and promotions
roles/paymentsresellersubscription.partnerViewer,  Payments Reseller Viewer,  Read access to all Payments Reseller resources, including subscriptions, products and promotions
roles/paymentsresellersubscription.productViewer,  Payments Reseller Products Viewer,  Read access to Payments Reseller Product resource
roles/paymentsresellersubscription.promotionViewer,  Payments Reseller Promotions Viewer,  Read access to Payments Reseller Promotion resource
roles/paymentsresellersubscription.subscriptionEditor,  Payments Reseller Subscriptions Editor,  Write access to Payments Reseller Subscription resource
roles/paymentsresellersubscription.subscriptionViewer,  Payments Reseller Subscriptions Viewer,  Read access to Payments Reseller Subscription resource
roles/policyanalyzer.activityAnalysisViewer,  Activity Analysis Viewer,  Viewer user that can read all activity analysis.
roles/policysimulator.admin,  Simulator Admin,  Admin user that can run and access replays.
roles/privateca.admin,  CA Service Admin,  Full access to all CA Service resources.
roles/privateca.auditor,  CA Service Auditor,  Read-only access to all CA Service resources.
roles/privateca.caManager,  CA Service Operation Manager,  Create and manage CAs, revoke certificates, create certificates templates, and read-only access for CA Service resources.
roles/privateca.certificateManager,  CA Service Certificate Manager,  Create certificates and read-only access for CA Service resources.
roles/privateca.certificateRequester,  CA Service Certificate Requester,  Request certificates from CA Service.
roles/privateca.templateUser,  CA Service Certificate Template User,  Read, list and use certificate templates.
roles/privateca.workloadCertificateRequester,  CA Service Workload Certificate Requester,  Request certificates from CA Service with caller's identity.
roles/proximitybeacon.attachmentEditor,  Beacon Attachment Editor,  Can create and delete attachments; can list and get a project's beacons; can list a project's namespaces.
roles/proximitybeacon.attachmentPublisher,  Beacon Attachment Publisher,  Grants necessary permissions to use beacons to create attachments in namespaces not owned by this project.
roles/proximitybeacon.attachmentViewer,  Beacon Attachment Viewer,  Can view all attachments under a namespace; no beacon or namespace permissions.
roles/proximitybeacon.beaconEditor,  Beacon Editor,  Necessary access to register, modify, and view beacons; no attachment or namespace permissions.
roles/pubsub.admin,  Pub/Sub Admin,  Full access to topics, subscriptions, and snapshots.
roles/pubsub.editor,  Pub/Sub Editor,  Modify topics and subscriptions, publish and consume messages.
roles/pubsub.publisher,  Pub/Sub Publisher,  Publish messages to a topic.
roles/pubsub.serviceAgent,  Cloud Pub/Sub Service Agent,  Grants Cloud Pub/Sub Service Account access to manage resources.
roles/pubsub.subscriber,  Pub/Sub Subscriber,  Consume messages from a subscription, attach subscriptions to a topic, and seek to a snapshot.
roles/pubsub.viewer,  Pub/Sub Viewer,  View topics, subscriptions, and snapshots.
roles/pubsublite.admin,  Pub/Sub Lite Admin,  Full access to topics, subscriptions and reservations.
roles/pubsublite.editor,  Pub/Sub Lite Editor,  Modify topics, subscriptions and reservations, publish and consume messages.
roles/pubsublite.publisher,  Pub/Sub Lite Publisher,  Publish messages to a topic.
roles/pubsublite.subscriber,  Pub/Sub Lite Subscriber,  Subscribe to and read messages from a topic.
roles/pubsublite.viewer,  Pub/Sub Lite Viewer,  View topics, subscriptions and reservations.
roles/recaptchaenterprise.admin,  reCAPTCHA Enterprise Admin,  Access to view and modify reCAPTCHA Enterprise keys
roles/recaptchaenterprise.agent,  reCAPTCHA Enterprise Agent,  Access to create and annotate reCAPTCHA Enterprise assessments
roles/recaptchaenterprise.viewer,  reCAPTCHA Enterprise Viewer,  Access to view reCAPTCHA Enterprise keys and metrics
roles/recommender.billingAccountCudAdmin,  Billing Account Usage Commitment Recommender Admin,  Admin of Billing Account Usage Commitment Recommender.
roles/recommender.billingAccountCudViewer,  Billing Account Usage Commitment Recommender Viewer,  Viewer of Billing Account Usage Commitment Recommender.
roles/recommender.cloudAssetInsightsAdmin,  Cloud Asset Insights Admin,  Admin of all Cloud Asset insights.
roles/recommender.cloudAssetInsightsViewer,  Cloud Asset Insights Viewer,  Viewer of all Cloud Asset insights.
roles/recommender.cloudsqlAdmin,  Cloud SQL Recommender Admin,  Admin of Cloud SQL insights and recommendations.
roles/recommender.cloudsqlViewer,  Cloud SQL Recommender Viewer,  Viewer of Cloud SQL insights and recommendations.
roles/recommender.computeAdmin,  Compute Recommender Admin,  Admin of compute recommendations.
roles/recommender.computeViewer,  Compute Recommender Viewer,  Viewer of compute recommendations.
roles/recommender.exporter,  Recommendations Exporter,  Exporter of Recommendations
roles/recommender.firewallAdmin,  Firewall Recommender Admin,  Admin of Firewall insights and recommendations.
roles/recommender.firewallViewer,  Firewall Recommender Viewer,  Viewer of Firewall insights and recommendations.
roles/recommender.iamAdmin,  IAM Recommender Admin,  Admin of IAM recommendations.
roles/recommender.iamViewer,  IAM Recommender Viewer,  Viewer of IAM recommendations.
roles/recommender.productSuggestionAdmin,  Product Suggestion Recommenders Admin,  Admin of all Product Suggestion insights and recommendations.
roles/recommender.productSuggestionViewer,  Product Suggestion Recommenders Viewer,  Viewer of all Product Suggestion insights and recommendations.
roles/recommender.projectCudAdmin,  Project Usage Commitment Recommender Admin,  Admin of Project Usage Commitment Recommender.
roles/recommender.projectCudViewer,  Project Usage Commitment Recommender Viewer,  Viewer of Project Usage Commitment Recommender.
roles/recommender.projectUtilAdmin,  Project Utilization Recommender Admin,  Admin of Project Utilization insights and recommendations.
roles/recommender.projectUtilViewer,  Project Utilization Recommender Viewer,  Viewer of Project Utilization insights and recommendations.
roles/redis.admin,  Cloud Memorystore Redis Admin,  Full access to Redis instances and related resources.
roles/redis.editor,  Cloud Memorystore Redis Editor,  Read-Write access to Redis instances and related resources.
roles/redis.serviceAgent,  Cloud Memorystore Redis Service Agent,  Gives Cloud Memorystore Redis service account access to managed resource
roles/redis.viewer,  Cloud Memorystore Redis Viewer,  Read-only access to Redis instances and related resources.
roles/redisenterprisecloud.admin,  Redis Enterprise Cloud Admin,  This role is managed by Redis Labs, not Google.
roles/redisenterprisecloud.viewer,  Redis Enterprise Cloud Viewer,  This role is managed by Redis Labs, not Google.
roles/remotebuildexecution.actionCacheWriter,  Remote Build Execution Action Cache Writer,  Remote Build Execution Action Cache Writer
roles/remotebuildexecution.artifactAdmin,  Remote Build Execution Artifact Admin,  Remote Build Execution Artifact Admin
roles/remotebuildexecution.artifactCreator,  Remote Build Execution Artifact Creator,  Remote Build Execution Artifact Creator
roles/remotebuildexecution.artifactViewer,  Remote Build Execution Artifact Viewer,  Remote Build Execution Artifact Viewer
roles/remotebuildexecution.configurationAdmin,  Remote Build Execution Configuration Admin,  Remote Build Execution Configuration Admin
roles/remotebuildexecution.configurationViewer,  Remote Build Execution Configuration Viewer,  Remote Build Execution Configuration Viewer
roles/remotebuildexecution.logstreamWriter,  Remote Build Execution Logstream Writer,  Remote Build Execution Logstream Writer
roles/remotebuildexecution.reservationAdmin,  Remote Build Execution Reservation Admin,  Remote Build Execution Reservation Admin
roles/remotebuildexecution.serviceAgent,  Remote Build Execution Service Agent,  Gives Remote Build Execution service account access to managed resources.
roles/remotebuildexecution.worker,  Remote Build Execution Worker,  Remote Build Execution Worker
roles/resourcemanager.folderAdmin,  Folder Admin,  Access and administer a folder and all of its sub-resources.
roles/resourcemanager.folderCreator,  Folder Creator,  Create folder and view all of its sub-resources.
roles/resourcemanager.folderEditor,  Folder Editor,  Edit, delete, and undelete a folder and all of its child resources.
roles/resourcemanager.folderIamAdmin,  Folder IAM Admin,  Access and administer a folder IAM policies.
roles/resourcemanager.folderMover,  Folder Mover,  Move a folder and all of its child resources.
roles/resourcemanager.folderViewer,  Folder Viewer,  Access to view a folder and all of its child resources.
roles/resourcemanager.lienModifier,  Project Lien Modifier,  Access to modify Liens on projects.
roles/resourcemanager.organizationAdmin,  Organization Administrator,  Access to administer all resources belonging to the organization.
roles/resourcemanager.organizationViewer,  Organization Viewer,  Access only to view an Organization.
roles/resourcemanager.projectCreator,  Project Creator,  Access to create new GCP projects.
roles/resourcemanager.projectDeleter,  Project Deleter,  Access to delete GCP projects.
roles/resourcemanager.projectIamAdmin,  Project IAM Admin,  Access and administer a project IAM policies.
roles/resourcemanager.projectMover,  Project Mover,  Access to update and move a project
roles/resourcemanager.tagAdmin,  Tag Administrator,  Access to create, delete, update, and manage access to Tags
roles/resourcemanager.tagUser,  Tag User,  Access to list Tags and manage their associations with resources
roles/resourcemanager.tagViewer,  Tag Viewer,  Access to list Tags and their associations with resources
roles/resourcesettings.admin,  Resource Settings Administrator,  Provides admin capabilities to set Resource Setting Values on resources.
roles/resourcesettings.viewer,  Resource Settings Viewer,  Provides capabilities to view Resource Settings and Resource Setting Values on resources.
roles/retail.admin,  Retail Admin,  Full access to Retail api resources.
roles/retail.editor,  Retail Editor,  Full access to Retail api resources except purge, rejoin, and setSponsorship.
roles/retail.serviceAgent,  Retail Service Agent,  Retail service uploads product feeds and user events from Cloud Storage and BigQuery, reports results to the customer Cloud Storage bucket, writes logs to customer projects, and writes and reads Stackdriver metrics for customer projects.
roles/retail.viewer,  Retail Viewer,  Grants access to read all resources in Retail.
roles/riskmanager.admin,  Risk Manager Admin,  Grants all Risk Manager permissions
roles/riskmanager.editor,  Risk Manager Editor,  Access to edit Risk Manager resources
roles/riskmanager.reviewer,  Risk Manager Report Reviewer,  Access to review Risk Manager reports
roles/riskmanager.serviceAgent,  Risk Manager Service Agent,  Service agent that grants Risk Manager service access to fetch findings for generating Reports
roles/riskmanager.viewer,  Risk Manager Viewer,  Access to view Risk Manager resources
roles/run.admin,  Cloud Run Admin,  Full control over all Cloud Run resources.
roles/run.developer,  Cloud Run Developer,  Read and write access to all Cloud Run resources.
roles/run.invoker,  Cloud Run Invoker,  Can invoke a Cloud Run service.
roles/run.serviceAgent,  Cloud Run Service Agent,  Gives Cloud Run service account access to managed resources.
roles/run.viewer,  Cloud Run Viewer,  Can view the state of all Cloud Run resources, including IAM policies.
roles/runtimeconfig.admin,  Cloud RuntimeConfig Admin,  Full access to RuntimeConfig resources.
roles/secretmanager.admin,  Secret Manager Admin,  Full access to administer Secret Manager resources.
roles/secretmanager.secretAccessor,  Secret Manager Secret Accessor,  Allows accessing the payload of secrets.
roles/secretmanager.secretVersionAdder,  Secret Manager Secret Version Adder,  Allows adding versions to existing secrets.
roles/secretmanager.secretVersionManager,  Secret Manager Secret Version Manager,  Allows creating and managing versions of existing secrets.
roles/secretmanager.viewer,  Secret Manager Viewer,  Allows viewing metadata of all Secret Manager resources
roles/securedlandingzone.serviceAgent,  Secured Landing Zone Service Agent,  Grants Secured Landing Zone service account permissions to manage resources in the customer project
roles/securitycenter.admin,  Security Center Admin,  Admin(super user) access to security center
roles/securitycenter.adminEditor,  Security Center Admin Editor,  Admin Read-write access to security center
roles/securitycenter.adminViewer,  Security Center Admin Viewer,  Admin Read access to security center
roles/securitycenter.assetSecurityMarksWriter,  Security Center Asset Security Marks Writer,  Write access to asset security marks
roles/securitycenter.assetsDiscoveryRunner,  Security Center Assets Discovery Runner,  Run asset discovery access to assets
roles/securitycenter.assetsViewer,  Security Center Assets Viewer,  Read access to assets
roles/securitycenter.automationServiceAgent,  Security Center Automation Service Agent,  Security Center automation service agent can configure GCP resources to enable security scanning.
roles/securitycenter.controlServiceAgent,  Security Center Control Service Agent,  Security Center Control service agent can monitor and configure GCP resources and import security findings.
roles/securitycenter.findingSecurityMarksWriter,  Security Center Finding Security Marks Writer,  Write access to finding security marks
roles/securitycenter.findingsEditor,  Security Center Findings Editor,  Read-write access to findings
roles/securitycenter.findingsStateSetter,  Security Center Findings State Setter,  Set state access to findings
roles/securitycenter.findingsViewer,  Security Center Findings Viewer,  Read access to findings
roles/securitycenter.findingsWorkflowStateSetter,  Security Center Findings Workflow State Setter,  Set workflow state access to findings
roles/securitycenter.notificationConfigEditor,  Security Center Notification Configurations Editor,  Write access to notification configurations
roles/securitycenter.notificationConfigViewer,  Security Center Notification Configurations Viewer,  Read access to notification configurations
roles/securitycenter.notificationServiceAgent,  Security Center Notification Service Agent,  Security Center service agent can publish notifications to Pub/Sub topics.
roles/securitycenter.securityHealthAnalyticsServiceAgent,  Security Health Analytics Service Agent,  Security Health Analytics service agent can scan GCP resource metadata to find security vulnerabilities.
roles/securitycenter.serviceAgent,  Security Center Service Agent,  Security Center service agent can scan GCP resources and import security scans.
roles/securitycenter.settingsAdmin,  Security Center Settings Admin,  Admin(super user) access to security center settings
roles/securitycenter.settingsEditor,  Security Center Settings Editor,  Read-Write access to security center settings
roles/securitycenter.settingsViewer,  Security Center Settings Viewer,  Read access to security center settings
roles/securitycenter.sourcesAdmin,  Security Center Sources Admin,  Admin access to sources
roles/securitycenter.sourcesEditor,  Security Center Sources Editor,  Read-write access to sources
roles/securitycenter.sourcesViewer,  Security Center Sources Viewer,  Read access to sources
roles/serverless.serviceAgent,  Cloud Run Service Agent,  Gives Cloud Run service account access to managed resources.
roles/servicebroker.admin,  Service Broker Admin,  Full access to ServiceBroker resources.
roles/servicebroker.operator,  Service Broker Operator,  Operational access to the ServiceBroker resources.
roles/serviceconsumermanagement.tenancyUnitsAdmin,  Admin of Tenancy Units,  Administrate tenancy units
roles/serviceconsumermanagement.tenancyUnitsViewer,  Viewer of Tenancy Units,  View tenancy units
roles/servicedirectory.admin,  Service Directory Admin,  Full control of all Service Directory resources and permissions.
roles/servicedirectory.editor,  Service Directory Editor,  Edit Service Directory resources.
roles/servicedirectory.pscAuthorizedService,  Private Service Connect Authorized Service,  Gives access to VPC Networks via Service Directory
roles/servicedirectory.serviceAgent,  Service Directory Service Agent,  Give the Service Directory service agent access to Cloud Platform resources.
roles/servicedirectory.viewer,  Service Directory Viewer,  View Service Directory resources.
roles/servicemanagement.admin,  Service Management Administrator,  Full control of Google Service Management resources.
roles/servicemanagement.configEditor,  Service Config Editor,  Access to update the service config and create rollouts.
roles/servicemanagement.quotaAdmin,  Quota Administrator,  Access to administer service quotas.
roles/servicemanagement.quotaViewer,  Quota Viewer,  Access to view service quotas.
roles/servicemanagement.reporter,  Service Reporter,  Can report usage of a service during runtime.
roles/servicemanagement.serviceConsumer,  Service Consumer,  Can enable the service.
roles/servicemanagement.serviceController,  Service Controller,  Can check preconditions and report usage of a service during runtime.
roles/servicenetworking.networksAdmin,  Service Networking Admin,  Full control of service networking with projects.
roles/servicenetworking.serviceAgent,  Service Networking Service Agent,  Gives permission to manage network configuration, such as establishing network peering, necessary for service producers
roles/serviceusage.apiKeysAdmin,  API Keys Admin,  Ability to create, delete, update, get and list API keys for a project.
roles/serviceusage.apiKeysViewer,  API Keys Viewer,  Ability to get and list API keys for a project.
roles/serviceusage.serviceUsageAdmin,  Service Usage Admin,  Ability to enable, disable, and inspect service states, inspect operations, and consume quota and billing for a consumer project.
roles/serviceusage.serviceUsageConsumer,  Service Usage Consumer,  Ability to inspect service states and operations, and consume quota and billing for a consumer project.
roles/serviceusage.serviceUsageViewer,  Service Usage Viewer,  Ability to inspect service states and operations for a consumer project.
roles/source.admin,  Source Repository Administrator,  Admin access to repositories
roles/source.reader,  Source Repository Reader,  Read access to repositories
roles/source.writer,  Source Repository Writer,  Read / Write access to repositories
roles/sourcerepo.serviceAgent,  Cloud Source Repositories Service Agent,  Allow Cloud Source Repositories to integrate with other Cloud services.
roles/spanner.admin,  Cloud Spanner Admin,  Full control of Cloud Spanner resources.
roles/spanner.backupAdmin,  Cloud Spanner Backup Admin,  Administrator role to manage Cloud Spanner backups. Does not include permissions to restore from Cloud Spanner backups.
roles/spanner.backupWriter,  Cloud Spanner Backup Writer,  Role with limited permissions to create and manage Cloud Spanner backups. Does not have permission to modify backups.
roles/spanner.databaseAdmin,  Cloud Spanner Database Admin,  Full control of Cloud Spanner databases.
roles/spanner.databaseReader,  Cloud Spanner Database Reader,  Access to read and/or query a Cloud Spanner database.
roles/spanner.databaseUser,  Cloud Spanner Database User,  Access to read, query, write and view and change the schema of Cloud Spanner databases
roles/spanner.restoreAdmin,  Cloud Spanner Restore Admin,  Administrator role to restore Cloud Spanner databases from Cloud Spanner backups.
roles/spanner.viewer,  Cloud Spanner Viewer,  Viewer access to Cloud Spanner resources.
roles/speech.admin,  Cloud Speech Administrator,  Grants full access to all resources in Speech-to-text
roles/speech.client,  Cloud Speech Client,  Grants access to the recognition APIs.
roles/speech.editor,  Cloud Speech Editor,  Grants access to edit resources in Speech-to-text
roles/stackdriver.accounts.editor,  Stackdriver Accounts Editor,  Read/write access to manage Stackdriver account structure.
roles/stackdriver.accounts.viewer,  Stackdriver Accounts Viewer,  Read-only access to get and list information about Stackdriver account structure.
roles/stackdriver.resourceMetadata.writer,  Stackdriver Resource Metadata Writer,  Write-only access to resource metadata.  This provides exactly the permissions needed by the Stackdriver metadata agent and other systems that send metadata.
roles/storage.admin,  Storage Admin,  Full control of GCS resources.
roles/storage.hmacKeyAdmin,  Storage HMAC Key Admin,  Full control of GCS HMAC Keys.
roles/storage.legacyBucketOwner,  Storage Legacy Bucket Owner,  Read and write access to existing buckets with object listing/creation/deletion.
roles/storage.legacyBucketReader,  Storage Legacy Bucket Reader,  Read access to buckets with object listing.
roles/storage.legacyBucketWriter,  Storage Legacy Bucket Writer,  Read access to buckets with object listing/creation/deletion.
roles/storage.legacyObjectOwner,  Storage Legacy Object Owner,  Read/write access to existing objects without listing.
roles/storage.legacyObjectReader,  Storage Legacy Object Reader,  Read access to objects without listing.
roles/storage.objectAdmin,  Storage Object Admin,  Full control of GCS objects.
roles/storage.objectCreator,  Storage Object Creator,  Access to create objects in GCS.
roles/storage.objectViewer,  Storage Object Viewer,  Read access to GCS objects.
roles/storagetransfer.admin,  Storage Transfer Admin,  Create, update and manage transfer jobs and operations.
roles/storagetransfer.user,  Storage Transfer User,  Create and update storage transfer jobs and operations.
roles/storagetransfer.viewer,  Storage Transfer Viewer,  Read access to storage transfer jobs and operations.
roles/subscribewithgoogledeveloper.developer,  Subscribe with Google Developer,  Access DevTools for Subscribe with Google
roles/threatdetection.editor,  Threat Detection Settings Editor,  Read-write access to all Threat Detection settings
roles/threatdetection.viewer,  Threat Detection Settings Viewer,  Read access to all Threat Detection settings
roles/tpu.admin,  TPU Admin,  Full access to TPU nodes and related resources.
roles/tpu.serviceAgent,  Cloud TPU API Service Agent,  Give Cloud TPUs service account access to managed resources
roles/tpu.viewer,  TPU Viewer,  Read-only access to TPU nodes and related resources.
roles/trafficdirector.client,  Traffic Director Client,  Traffic Director Client to fetch service configurations and report metrics
roles/transcoder.admin,  Transcoder Admin,  Full access to all transcoder resources.
roles/transcoder.serviceAgent,  Transcoder Service Agent,  Downloads and uploads media files from and to customer GCS buckets. Publishes status updates to customer Pub/Sub.
